12.905	4.21022
14.9	1.1443272
13.35	3.15664
13.25	3.274965
12.84	19.07778
13.66	3.370693
13.19	21.75257
14.95	4.937512
14.65	4.9445
13.75	
16.1	5.076277
14.5	7.516
14	7.0969
15.3	2.4838
14.75	3.135233
12.8	2.77405
12.2	1.002282
13	32.333
13.82	12.24982
12.8	1.960002
13.55	1.067159
17.855	2.076
13.65	4.001
13.4	3.3779
13.75	2.0416
12.85	8.63793
13.85	
13.65	7.41828
14.25	64.1
14.45	14.867
14.6	9.5273
14.7	7.5244
14.85	2.7113
14.15	1.724757
15.35	14.4
17.2	70.8
17.1	26.06
16.65	75.8
14.95	12.101
14.45	
8.195	0.83163
13.85	12.9191
13.07	21.47
14.5	11.7989
15.2	15.6675
15.55	24.147
15.5	15.529
14.05	15.23965
12.76	34.0483
13.95	27.178
16.4	1.37
