14.65	
14.25	
15.25	0.40075
14.335	
17.595	0.352268
14.95	
15.5	
15.75	
15.15	0.45219
15	0.379771
13.45	
14.25	0.3180
15.2	
16.5	
15	
15	
15	
14.5	
14.7	
14.5	
13.85	0.454
15.2	0.54604
13.8	
14.05	
13.95	
17.1	
15.4	0.45111
16.2	0.40266
15.95	0.46566
16.1	0.521
16.2	0.435
13.85	0.2540511
13.9	0.5601738
15.7	
14.5	
14.55	0.595432
14.95	
12.55	
14.85	0.6214
15.3	0.42114
15.3	
15.25	
15	
14.75	
14.5	
13.5	0.3898
13.9	
13.75	
13.75	
13	
15	
14.25	
14.75	
13.75	
13.75	
13.5	
12.8	
12.5	
13.5	
13.65	
14.9	
15	
15.85	
14	
15.5	
14.5	
15.5	
15.15	
14.95	
13.7	0.57247
15.4	0.300939
14.15	0.688
14	0.73844
14	0.46972
14.8	0.548932
14.65	0.61
14.55	0.57781
12.95	0.71331
13.2	0.76224
13.3	0.41644
13.6	0.66422
14.05	0.59121
12.45	0.7234
15.4	0.588189
13.85	0.677539
13.75	
15.5	
13.5	
13.75	
15.25	
14.5	
13.75	
14	
14.25	
13.5	
15.5	
13.5	
13.75	
14.5	0.59396
15.65	0.45038
15.15	0.5389
14.5	0.63054
14.5	0.5405
14.7	0.480324
13.8	
13.5	
15	
15.25	
14.25	
15.5	
14.1	
13.5	
13.6	0.64
14.75	
14.25	0.3987
13.5	
12.8	
15.1	0.32122
14.7	
14.75	
15.3	
14.6	
15.75	
15.25	
13.9	
14.85	
14.6	0.571
13.5	0.4972
14.5	
13.45	
13.75	0.31582
15.5	
13.7	0.99585
14.94	
14	0.569
15	0.46675
14.55	0.68781
15.4	
14.5	
13.5	
13.75	
13.895	
14.2	0.232034
14.3	
13.15	0.376165
13.1	0.600732
16	
14.75	
15.9	0.37633
15.6	
15.5	
13.15	
18.45	
14.75	
15.35	
14.55	
14.4	
14.85	
14.75	
15.6	
15.45	
15.85	
15.8	
15.65	
15.25	
15.8	
15.8	
15.4	
16	
15.35	
15.8	
15.85	
15.05	
14.8	
14.55	
14.9	
15.05	
13.9	0.521392
14.7	
14.6	
14	
14.5	4.03
15.15	
16	
16.25	
14.45	
16.7	
17.25	0.6106
14.5	
13.9	
14.85	0.56931
16.85	
15.5	
17.55	
19.1	
18.4	
18.9	
14.8	
16	
14.5	
13.65	0.63022
13.95	0.31337
17.45	
16.05	
15.95	
15.5	
14.2	
14.95	
14.15	
14.65	
14.95	
13.6	
14.5	
15.35	
14.45	
15	
11.75	
13.6	0.3576
15.25	
15.5	
15.5	
17.1	
17	
16.2	
13.5	
13.75	
15.75	
14.75	0.664191
14.65	0.52654
15.7	0.6065
15.35	0.5562
14.2	2.019
13.75	
13.7	
14.5	
14	0.5083
13	
13	
14.8	
14.55	
13.9	0.582415
14.4	0.5
14.2	0.347
16	0.47805
15.45	0.38533
15.7	0.50152
15.6	0.4835
15.6	0.41211
14.1	0.575242
16	
15.35	0.509585
17	
17.75	
17.5	
17.45	
16.25	
17.1	
16.2	
15.3	
16	
16.3	0.49921
16.6	0.59352
15.35	0.35574
15.5	
15.75	0.33212
15.9	
16.9	
16.3	
16.95	0.50779
17.95	
15.25	
14.7	
15.5	
15.8	
15.25	
15.5	
14.6	
14.55	0.4244
14.75	
15.9	0.4146
15	
15.55	
15.3	
15.05	
15.6	
16.2	
14.4	
15.6	
13.65	
15.9	
15.8	
15.9	
15.9	
16	
15.7	
14.3	
16.1	0.40987
15.5	
15.5	
16	
15.5	
14.9	
14.8	
13.5	0.3811
16.4	0.5
16.2	0.65
15.45	0.93
16	0.4
16.65	0.55
16.05	
14.25	0.310554
15.9	0.467
16.15	0.6
15.2	
14.75	
15.25	
15.7	
15.3	
14.95	
12.85	
16	
15.25	
14.1	
15.5	
15.5	
15.5	
16.25	
15.25	
17.05	
16.35	
15.5	
16.05	
15.05	
17.05	
12.9	
15.5	
13.25	
16.5	
